,Content ID,Reaction_Type,Datetime,Content_Type,Category,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,photo,studying,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,photo,studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,photo,studying,negative,0
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,photo,healthy eating,negative,0
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:33,photo,healthy eating,negative,0
5,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14 07:21:32,video,dogs,negative,0
6,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13 23:35:56,video,dogs,negative,0
7,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11 20:10:20,video,dogs,negative,0
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27 01:44:22,photo,public speaking,negative,0
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13 04:14:45,photo,public speaking,negative,0
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-11-07 08:49:52,GIF,science,negative,0
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2021-03-31 15:51:15,GIF,tennis,negative,0
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-09-11 16:22:49,GIF,tennis,negative,0
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-10-13 16:31:34,GIF,tennis,negative,0
14,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-07-23 19:31:31,GIF,tennis,negative,0
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-12-08 13:12:56,video,food,negative,0
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-01-05 13:15:46,video,food,negative,0
17,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-11-08 02:43:54,video,food,negative,0
18,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-04-19 01:45:56,video,food,negative,0
19,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-10-18 12:49:22,video,food,negative,0
20,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,2021-02-08 03:28:00,GIF,fitness,negative,0
21,f332d362-dc48-46c2-a64b-641157c0987e,disgust,2021-02-15 20:35:25,GIF,soccer,negative,0
